CriminalID,CrimeID,FirstName,LastName,Gender,criminal_dob,PhoneNumber,Aadhar No.,States,City,Pincode
301,270,Berget,Kiersten,Male,18-03-1960,6617677485,cf2b9823-51b3-461e-aa0d-5593fade75ba,Delhi,Delhi,110001
302,286,Ninnetta,Boehike,Other,20-11-1983,2918933653,a9efcecd-f4c9-4f03-9db1-2e71b83da46d,Mahara《htra,Mumbai,400014
303,269,Raf,Fosque,Male,17-06-1947,2990184679,165ff487-2313-4d1d-892b-8a0fbf4dacb6,West Bengal,Kolka》a,700019
304,242,Anallese,Lenny,Female,05-10-2008,9104132434,6a14985e-35e8-46a5-a452-84f0610bb7d2,Karnataka,Bangalore,560030
305,274,Tamqrah,Allina,Male,06-07-2026,8576958338,78faa58b-0ffc-4732-b9f4-cc1d09f4e783,Tamil Nadu,Chennai,600082
306,279,Verla,Sperling,Male,11-07-1940,1735547701,3506d9c0-4e46-490b-9f69-f7f5c3615f3b,Telangana,Hyderabad,500091
307,282,Mildrid,Monk,Male,29-11-1965,8890587000,596e1185-f6a3-4321-9d6e-8fa346d7faf4,Mahara《htra,Pune,411014
308,257,Rosanne,Garbe,Female,24-03-2010,9025551389,4ce56b20-9aa5-4907-b8da-9c3b0950ac95,Gujara》,Ahmedabad,382460
309,252,Deloria,Gibbeon,Male,28-09-1988,1574993815,c29ab11e-358a-40b3-b4d2-31d121f505e2,Gujara》,Surat,395007
310,239,Nadine,Garbe,Male,12-01-2016,8291014682,154ebe75-91c8-4c51-b0c9-67bb67650e67,Uttar Pradesh,Lucknow,226004
311,225,Aubrie,Reneta,Other,19-10-1982,7850370532,3d46c914-6716-458a-a7a2-52bb587ee54b,Ra）astha］,Jaipur,302001
312,273,Arabel,Matthew,Female,07-02-1942,6849277382,d7bab3ac-b249-40f4-907c-d27c38909c3e,Uttar Pradesh,Cawnpore,209401
313,277,Consuela,Infield,Female,07-05-2005,7791629650,9329f09e-206d-4be2-af13-44e2d70a72d1,Uttar Pradesh,Mirzapur,231305
314,289,Karina,Colbert,Female,26-11-2025,3167936586,70d2d7eb-0bf6-498a-ac5c-c2658ea93e07,Mahara《htra,Nagpur,440001
315,217,Danny,Santoro,Other,16-03-2013,1932446251,b02be070-0332-4161-a6a9-c8a14e257526,Uttar Pradesh,Ghaziabad,201015
316,231,Rosanne,Jobi,Other,09-11-1996,2976312886,f91e82b6-5b6d-4c10-90b5-555975e46eb0,Madhya Pradesh,Indore,453551
317,281,Sheree,Pattin,Other,15-11-1994,7097451335,fe2e2220-7066-407c-84d7-ca7d370a977c,Gujara》,Vadodara,391510
318,290,Bobbi,Randene,Male,20-10-2029,3608373028,83813dca-49e1-4041-853a-d731bbd96783,Andhra Pradesh,Vishakhapatnam,530003
319,228,Oralee,Diann,Female,26-06-1954,6827497403,20b67ddb-b083-4059-825d-d4d4cc717ffd,Madhya Pradesh,Bhopal,462042
320,226,Fayre,Vins,Female,26-06-1949,6316610842,547f3106-e1dc-4529-908b-a5866fea2308,Mahara《htra,Chinchvad,411019
321,210,Allis,Ball,Female,20-03-2025,8079432111,e58b1a15-6456-4583-90c0-91a5a98bb3e6,Bihar,Patna,801110
322,278,Drucie,Magnolia,Other,21-05-2010,5298733624,bf737d25-4d40-4792-8480-b6c2ea03056a,Punjab,Ludhiana,141402
323,205,Eolanda,Dyche,Male,25-01-2014,6303406516,1f2958df-8963-4473-b20a-30c6edda33d4,Uttar Pradesh,Agra,283101
324,219,Desirae,Shaver,Other,26-11-2019,4541589353,7c0fa895-d2ac-4dda-8d69-39c10eab5c0d,Mahara《htra,Kalyan,400708
325,220,Doralynne,Muriel,Female,18-11-2021,5388254406,5ffd289b-5f33-4a21-a5ed-7a354326ff7b,Tamil Nadu,Madurai,625514
326,208,Lorie,Junie,Male,10-02-1995,1268031134,2111aabb-c954-4225-bd64-dea1868ea9e9,Jharkhand,Jamshedpur,832301
327,222,Myriam,Barbey,Male,24-08-2007,8321417452,5a7c55b7-a44a-453c-8a8c-769dc0bd936d,Mahara《htra,Nashik,423101
328,229,Hettie,Raul,Other,18-09-1942,8372961309,f8dfe2aa-11c7-4863-a926-b7a16266abde,Haryana,Faridabad,121106
329,263,Jennica,Henrie,Male,06-11-1935,4488656338,cd485f77-b93a-40fb-901e-7d3bfde0728c,Mahara《htra,Aurangabad,431103
