VictimID,CrimeID,firstname,lastname,PhoneNo,Gender,victim_dob,GUID,,States,City,Pincode
101,220,Libbie,Ciro,4006709949,Male,29-03-1940,076aeda4-23e9-40f5-9a54-e1b51397c9d5,,Delhi,Delhi,110001
102,288,Albertina,Ellord,7607899743,Female,01-05-1900,f1bb68af-fc5b-4304-982e-fc4cf3ce2ec6,,Mahara《htra,Mumbai,400014
103,237,Celestyna,Phaidra,4405899889,Female,25-02-1946,cb0cb6d4-410c-4679-805f-2827b0b28d63,,West Bengal,Kolka》a,700019
104,300,Merry,Doig,4519962645,Other,27-12-1966,415636a2-803b-4a7d-ab25-05afcb934b23,,Karnataka,Bangalore,560030
105,202,Rochette,Rozanna,2298023683,Female,27-02-1983,aaee6199-c0e1-4b39-96fe-72f1ed94264b,,Tamil Nadu,Chennai,600082
106,238,Jobi,Jerald,2352433887,Female,24-03-1958,3c22e1a9-1de2-485a-a52d-0808ced8d17e,,Telangana,Hyderabad,500091
107,254,Marika,Means,5773972988,Female,24-09-1928,c17f910e-4bdf-456b-902c-f31592265e43,,Mahara《htra,Pune,411014
108,260,Elena,Kellby,5872004138,Female,07-06-1920,454999fb-c7e2-4381-9c1e-aa60ada31230,,Gujara》,Ahmedabad,382460
109,275,Fina,Beebe,5326086889,Male,15-11-1928,79368b7b-e75d-4fa7-a2ba-7917136ee91d,,Gujara》,Surat,395007
110,233,Emilia,Zetta,7041683199,Female,24-05-1998,7c1a92f4-6c3d-4d8a-8466-046549c6cecf,,Uttar Pradesh,Lucknow,226004
111,242,Drucie,Cimbura,8896374710,Other,21-03-1970,d9a5332b-df14-416e-a3ec-0a437cb5e106,,Ra）astha］,Jaipur,302001
112,276,Consuela,Raama,3732441474,Female,20-12-1926,7cea82ee-4e3f-48c4-8c2d-9b92544ed233,,Uttar Pradesh,Cawnpore,209401
113,213,Iseabal,Zola,2129085955,Female,06-11-1904,7cb58476-147a-42b2-b8b6-3e6a5d1bb02c,,Uttar Pradesh,Mirzapur,231305
114,279,Audrie,Lasley,4333147208,Other,21-07-1962,a833aa96-ce4c-4a9f-9848-fe07417bcaca,,Mahara《htra,Nagpur,440001
115,291,Monika,Garlinda,2192211141,Male,29-01-1912,707f5abb-7a75-49bc-9e7b-a88b3f9b140b,,Uttar Pradesh,Ghaziabad,201015
116,253,Christy,Pandolfi,7002425123,Male,30-04-1954,cb6de214-cbf6-4418-8eae-ae665b6596e0,,Madhya Pradesh,Indore,453551
117,232,Cassondra,Odysseus,8584952127,Other,06-03-1909,8eeef54c-fe08-4967-84c6-1ef984c02d18,,Gujara》,Vadodara,391510
118,278,Ariela,Korey,6922254767,Other,10-05-1956,33034f3b-d59c-479b-81cb-1c5d8de06ab3,,Andhra Pradesh,Vishakhapatnam,530003
119,283,Karolina,Ammann,6683455712,Other,10-03-1913,f495ece1-4bac-483f-aa13-7a8038db2bef,,Madhya Pradesh,Bhopal,462042
120,261,Blinni,Autrey,6163237495,Female,03-05-1921,68be0d99-997d-4d2c-a8a4-b6ebfa6f6cdf,,Mahara《htra,Chinchvad,411019
121,246,Elmira,Greenwald,6595975754,Female,13-11-1900,8f431f8d-ac7b-42cf-a7f0-1e7c336c188e,,Bihar,Patna,801110
122,225,Arlena,Solitta,9481476937,Female,29-07-2011,ec972bc0-3b96-40b5-9d5e-6d0fbe0296f0,,Punjab,Ludhiana,141402
